symbol,side,type,state,qty,cum_qty,limit_price,time_in_force,submitted_at,terminal_at
SOL/USDT,SELL,LIMIT,CANCELED,1.924000000000000000,0.000000000000000000,79.550000000000000000,GTC,1784083502971,1784084401451
LINK/USDT,SELL,LIMIT,CANCELED,12.030000000000000000,0.000000000000000000,8.458000000000000000,GTC,1784082604632,1784083519186
SOL/USDT,SELL,LIMIT,CANCELED,1.924000000000000000,0.000000000000000000,79.550000000000000000,GTC,1784081700982,1784082603470
LINK/USDT,SELL,LIMIT,CANCELED,12.030000000000000000,0.000000000000000000,8.458000000000000000,GTC,1784080802606,1784081702859
BTC/USDT,SELL,LIMIT,FILLED,0.001730000000000000,0.001730000000000000,64557.600000000000000000,IOC,1784079902475,1784079908685
SOL/USDT,SELL,LIMIT,CANCELED,1.924000000000000000,0.000000000000000000,79.550000000000000000,GTC,1784079900988,1784080803228
ETH/USDT,SELL,LIMIT,FILLED,0.059800000000000000,0.059800000000000000,1874.470000000000000000,IOC,1784079002688,1784079008930
BTC/USDT,SELL,LIMIT,CANCELED,0.001730000000000000,0.000000000000000000,65997.380000000000000000,GTC,1784079002194,1784079902469
ETH/USDT,SELL,LIMIT,CANCELED,0.059800000000000000,0.000000000000000000,1907.260000000000000000,GTC,1784078102188,1784079002673
SOL/USDT,SELL,LIMIT,CANCELED,1.924000000000000000,0.000000000000000000,79.550000000000000000,GTC,1784078100975,1784079003384
LINK/USDT,SELL,LIMIT,CANCELED,12.030000000000000000,0.000000000000000000,8.475000000000000000,GTC,1784078100593,1784079901080
BTC/USDT,SELL,LIMIT,CANCELED,0.001730000000000000,0.000000000000000000,65997.380000000000000000,GTC,1784077202224,1784078102462
ETH/USDT,SELL,LIMIT,CANCELED,0.059800000000000000,0.000000000000000000,1907.260000000000000000,GTC,1784076302214,1784077202498
SOL/USDT,SELL,LIMIT,CANCELED,1.924000000000000000,0.000000000000000000,79.550000000000000000,GTC,1784076301000,1784077201499
LINK/USDT,SELL,LIMIT,CANCELED,12.030000000000000000,0.000000000000000000,8.475000000000000000,GTC,1784076300642,1784077202894
BTC/USDT,SELL,LIMIT,CANCELED,0.001730000000000000,0.000000000000000000,65997.380000000000000000,GTC,1784075402219,1784076302498
LINK/USDT,SELL,LIMIT,CANCELED,12.030000000000000000,0.000000000000000000,8.475000000000000000,GTC,1784074504641,1784075406890
SOL/USDT,SELL,LIMIT,CANCELED,1.924000000000000000,0.000000000000000000,79.550000000000000000,GTC,1784074500999,1784075405228
ETH/USDT,SELL,LIMIT,CANCELED,0.059800000000000000,0.000000000000000000,1907.260000000000000000,GTC,1784074500209,1784075402702
SOL/USDT,BUY,LIMIT_MAKER,FILLED,1.926000000000000000,1.926000000000000000,77.830000000000000000,GTC,1784073611147,1784073668199
BTC/USDT,SELL,LIMIT,CANCELED,0.001730000000000000,0.000000000000000000,65997.380000000000000000,GTC,1784073600250,1784074502505
ETH/USDT,SELL,LIMIT,CANCELED,0.059800000000000000,0.000000000000000000,1907.260000000000000000,GTC,1784072702227,1784073602508
